prune_type,seed,accuracy,zero_weight_percentage
baseline,10,0.8409888481634563,0.0
baseline,20,0.8434843640333776,0.0
baseline,30,0.8409888481634563,0.0
baseline,40,0.8437183186461826,0.0
baseline,50,0.8429384699368323,0.0
baseline,60,0.8476955470638696,0.0
baseline,70,0.8426265304530921,0.0
baseline,80,0.8432504094205724,0.0
baseline,90,0.8425485455821571,0.0
baseline,100,0.8452780160648834,0.0
prune0.1,10,0.8469936832254542,9.907515956753944
prune0.1,20,0.8420026514856118,9.907515956753944
prune0.1,30,0.8518287452234267,9.907515956753944
prune0.1,40,0.8453560009358184,9.907515956753944
prune0.1,50,0.8454339858067534,9.907515956753944
prune0.1,60,0.8416127271309366,9.907515956753944
prune0.1,70,0.8431724245496374,9.907515956753944
prune0.1,80,0.8463698042579739,9.907515956753944
prune0.1,90,0.8409108632925213,9.907515956753944
prune0.1,100,0.8423145909693519,9.907515956753944
prune0.2,10,0.8414567573890666,19.816334505666276
prune0.2,20,0.8419246666146768,19.816334505666276
prune0.2,30,0.8497231537081806,19.816334505666276
prune0.2,40,0.8462138345161039,19.816334505666276
prune0.2,50,0.8437963035171177,19.816334505666276
prune0.2,60,0.8430164548077673,19.816334505666276
prune0.2,70,0.8420026514856118,19.816334505666276
prune0.2,80,0.8434843640333776,19.816334505666276
prune0.2,90,0.8418466817437417,19.816334505666276
prune0.2,100,0.8417686968728066,19.816334505666276
prune0.3,10,0.8409888481634563,29.72385046242022
prune0.3,20,0.8408328784215862,29.72385046242022
prune0.3,30,0.8490212898697652,29.72385046242022
prune0.3,40,0.8420026514856118,29.72385046242022
prune0.3,50,0.8413007876471964,29.72385046242022
prune0.3,60,0.8443421976136629,29.72385046242022
prune0.3,70,0.8416127271309366,29.72385046242022
prune0.3,80,0.8408328784215862,29.72385046242022
prune0.3,90,0.8410668330343913,29.72385046242022
prune0.3,100,0.8421586212274819,29.72385046242022
prune0.4,10,0.840364969195976,39.63266901133255
prune0.4,20,0.8434843640333776,39.63266901133255
prune0.4,30,0.8402869843250409,39.63266901133255
prune0.4,40,0.8567417920923341,39.63266901133255
prune0.4,50,0.8449660765811433,39.63266901133255
prune0.4,60,0.8463698042579739,39.63266901133255
prune0.4,70,0.8407548935506511,39.63266901133255
prune0.4,80,0.8411448179053264,39.63266901133255
prune0.4,90,0.8400530297122358,39.63266901133255
prune0.4,100,0.8428604850658972,39.63266901133255
prune0.5,10,0.8410668330343913,49.540184968086486
prune0.5,20,0.8437963035171177,49.540184968086486
prune0.5,30,0.8434843640333776,49.540184968086486
prune0.5,40,0.8549481400608282,49.540184968086486
prune0.5,50,0.8438742883880527,49.540184968086486
prune0.5,60,0.8468377134835842,49.540184968086486
prune0.5,70,0.8430164548077673,49.540184968086486
prune0.5,80,0.8413007876471964,49.540184968086486
prune0.5,90,0.8440302581299228,49.540184968086486
prune0.5,100,0.8430164548077673,49.540184968086486
prune0.6,10,0.8433283942915074,59.44770092484043
prune0.6,20,0.8420026514856118,59.44770092484043
prune0.6,30,0.8415347422600016,59.44770092484043
prune0.6,40,0.8527645636746471,59.44770092484043
prune0.6,50,0.8427825001949621,59.44770092484043
prune0.6,60,0.8472276378382594,59.44770092484043
prune0.6,70,0.8407548935506511,59.44770092484043
prune0.6,80,0.8425485455821571,59.44770092484043
prune0.6,90,0.8533884426421274,59.44770092484043
prune0.6,100,0.8455899555486236,59.44770092484043
prune0.7,10,0.8409888481634563,69.35651947375277
prune0.7,20,0.840364969195976,69.35651947375277
prune0.7,30,0.8455119706776886,69.35651947375277
prune0.7,40,0.8485533806441551,69.35651947375277
prune0.7,50,0.8426265304530921,69.35651947375277
prune0.7,60,0.8446541370974031,69.35651947375277
prune0.7,70,0.8448101068392732,69.35651947375277
prune0.7,80,0.8421586212274819,69.35651947375277
prune0.7,90,0.8508929267722062,69.35651947375277
prune0.7,100,0.8430944396787023,69.35651947375277
prune0.8,10,0.8453560009358184,79.26403543050671
prune0.8,20,0.8401310145831709,79.26403543050671
prune0.8,30,0.8443421976136629,79.26403543050671
prune0.8,40,0.8433283942915074,79.26403543050671
prune0.8,50,0.8448880917102082,79.26403543050671
prune0.8,60,0.840442954066911,79.26403543050671
prune0.8,70,0.8436403337752476,79.26403543050671
prune0.8,80,0.8401310145831709,79.26403543050671
prune0.8,90,0.8457459252904936,79.26403543050671
prune0.8,100,0.8442642127427279,79.26403543050671
